fiction,author,infomation
晚风吹拂,X7705,10.0分/魔幻/2019/7/12/37711字失魂落魄的人……遇到了它（她），一场甜蜜又轻松的生活就此开始了
我不是娘化杨戬,叶1正0,5.0分/魔幻/2019/7/12/11849字本书又名《战神是女孩》——万年前爆发的大战使得三界一方几乎全灭
异界医生的我娶了个龙傲天美少女,Nova酱,9.1分/魔幻/2019/7/12/134418字这个大陆，医者为尊，所以我选择当医生我救了一位龙傲天美少女我娶了她我无敌了“诊所缺钱？用我的零花钱吧，不多，也就一个亿
都说了本GM对手只有BUG小姐,特困户,[]
不正经史莱姆城主与七美德圣女,加冰柠檬水,[]
被称,无限夜空,[]
当大号穿越异世遇上创世神小号,喵呜葬,8.5分/魔幻/2019/7/12/663882字龙这种生物呢有着很高的自尊心，所以想要驯养的话首先要展示绝对的力量，然后强行套上项圈，放在身边不断进行打压
吸血鬼公主不想嫁人,云鹤丶追,10.0分/魔幻/2019/7/12/108017字本来以为死定了，结果发现自己变成了血族公主
我把自己摸成了妖皇,何处是归途,10.0分/魔幻/2019/7/12/149090字我随手一摸，就是一个妖怪
某不正经的魔术讲师,你猜我猜不猜丶,[]
穿二代的异世界生活,正体不明001,8.1分/魔幻/2019/7/12/528703字每天稳定二更，有时间三更，求收藏，求赞，求票，各种求
最强勇者的我与魔王私奔了,的我与魔王私奔了作者大吉是我,7.8分/魔幻/2019/7/12/267585字我是最强的勇者阿尔法
最强魔王你别跑,欧伽,9.9分/魔幻/2019/7/12/334492字警察A魔王先生？您好您好
带着剧本去异世的我无敌了,德华,[]
某魔法大陆的规则最强者,作者黎天启,9.0分/魔幻/2019/7/12/1321405字‘西部蛮荒’威斯科特……消缺
风与天空与众神的歌谣,xinclaer,[]
为暴君之凯旋高歌,墨昙,9.2分/魔幻/2019/7/12/174139字皇帝我的威名名震天下！女仆是是是……陛下名震天下～皇帝总感觉你在糊弄我
黑之创世记第一季,瓦利,10.0分/魔幻/2019/7/12/343820字魔拳士、魔剑士、魔导士，存在于魔法的世界
忧郁青年要穿越世界,子林萨尔卡德殿,10.0分/魔幻/2019/7/12/63633字被魔物追杀？被学姐绑架？被神秘组织挖墙角？普通高中生（并不）的蓝震难道要这么上贼船？超越九个世界，努力吧少年，奖励是学姐的色诱哦
异界的领主生活,灰色的毛毛球,8.8分/魔幻/2019/7/12/994086字有人曾经说过，当你拥有一百万元的时候，那是属于你的钱，拥有了一千万以后，这些钱就是属于社会的，你只是替社会管理着这些财富
为了生活我只能给魔族公主当仆人,向阳花田,6.0分/魔幻/2019/7/12/12920字前言嗯……并不是什么轻松的故事（虽然是轻小说），也并没有多沉重，嘛……如果能对上您的电波是再好不过了
反叛者的解甲归田之路,的解甲归田之路作者LANoire,5.0分/魔幻/2019/7/12/27828字罗威浑身是血，全身是谜
龙族最强高中生,迷之阵,5.0分/魔幻/2019/7/12/42967字作为远古龙族之中最强的存在，却在现代做一名普通的高中生，这究竟是道德的沦丧，还是龙性的扭曲？江辰雨做高中生怪我咯？唐令华少年，你居然是这样的人，啊，不对，是龙
晚风吹拂,X7705,10.0分/魔幻/2019/7/12/37711字失魂落魄的人……遇到了它（她），一场甜蜜又轻松的生活就此开始了
我不是娘化杨戬,叶1正0,5.0分/魔幻/2019/7/12/11849字本书又名《战神是女孩》——万年前爆发的大战使得三界一方几乎全灭
异界医生的我娶了个龙傲天美少女,Nova酱,9.1分/魔幻/2019/7/12/134418字这个大陆，医者为尊，所以我选择当医生我救了一位龙傲天美少女我娶了她我无敌了“诊所缺钱？用我的零花钱吧，不多，也就一个亿
都说了本GM对手只有BUG小姐,特困户,[]
不正经史莱姆城主与七美德圣女,加冰柠檬水,[]
被称,无限夜空,[]
当大号穿越异世遇上创世神小号,喵呜葬,8.5分/魔幻/2019/7/12/663882字龙这种生物呢有着很高的自尊心，所以想要驯养的话首先要展示绝对的力量，然后强行套上项圈，放在身边不断进行打压
吸血鬼公主不想嫁人,云鹤丶追,10.0分/魔幻/2019/7/12/108017字本来以为死定了，结果发现自己变成了血族公主
我把自己摸成了妖皇,何处是归途,10.0分/魔幻/2019/7/12/149090字我随手一摸，就是一个妖怪
某不正经的魔术讲师,你猜我猜不猜丶,[]
穿二代的异世界生活,正体不明001,8.1分/魔幻/2019/7/12/528703字每天稳定二更，有时间三更，求收藏，求赞，求票，各种求
最强勇者的我与魔王私奔了,的我与魔王私奔了作者大吉是我,7.8分/魔幻/2019/7/12/267585字我是最强的勇者阿尔法
最强魔王你别跑,欧伽,9.9分/魔幻/2019/7/12/334492字警察A魔王先生？您好您好
带着剧本去异世的我无敌了,德华,[]
某魔法大陆的规则最强者,作者黎天启,9.0分/魔幻/2019/7/12/1321405字‘西部蛮荒’威斯科特……消缺
风与天空与众神的歌谣,xinclaer,[]
